finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source
Polioptila melanura,Metazoa,Aves,Passeriformes,Certhiidae,Polioptila,Polioptila melanura,NA,NA
Rattus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,NA,NA,NA
Sciurus,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,NA,NA,NA
Thomomys talpoides,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys talpoides,0.14,Harestad_ Bunnel_1979
Zapus princeps,Metazoa,Mammalia,Rodentia,Dipodidae,Zapus,Zapus princeps,NA,NA
Zenaida macroura,Metazoa,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,0.119,Best_etal_1996
Amphipoda,Metazoa,Malacostraca,Amphipoda,NA,NA,NA,NA,NA
Bivalvia,Metazoa,Bivalvia,NA,NA,NA,NA,NA,NA
Brachyura,Metazoa,Malacostraca,Decapoda,NA,NA,NA,NA,NA
Caniformia,Metazoa,Mammalia,Carnivora,NA,NA,NA,NA,NA
Hippoidea,Metazoa,Malacostraca,Decapoda,NA,NA,NA,NA,NA
Isopoda,Metazoa,Malacostraca,Isopoda,NA,NA,NA,NA,NA
Rallus limicola,Metazoa,Aves,Gruiformes,Rallidae,Rallus,Rallus limicola,NA,NA
Squamata,Metazoa,Lepidosauria,Squamata,NA,NA,NA,NA,NA
Grampus griseus,Metazoa,Mammalia,Artiodactyla,Delphinidae,Grampus,Grampus griseus,NA,NA
Uta stansburiana,Metazoa,Lepidosauria,Squamata,Phrynosomatidae,Uta,Uta stansburiana,NA,NA
Cornu aspersum,Metazoa,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,NA,NA
Acanthis flammea,Metazoa,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea,NA,NA
Acanthis hornemanni,Metazoa,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis hornemanni,NA,NA
Acrocephalus schoenobaenus,Metazoa,Aves,Passeriformes,Sylviidae,Acrocephalus,Acrocephalus schoenobaenus,NA,NA
Actitis hypoleucos,Metazoa,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,NA,NA
Aethia cristatella,Metazoa,Aves,Charadriiformes,Alcidae,Aethia,Aethia cristatella,NA,NA
Aethia psittacula,Metazoa,Aves,Charadriiformes,Alcidae,Aethia,Aethia psittacula,NA,NA
Alauda arvensis,Metazoa,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,0.0427,Moller_etal_2004
Alca,Metazoa,Aves,Charadriiformes,Alcidae,Alca,NA,NA,NA
Alle alle,Metazoa,Aves,Charadriiformes,Alcidae,Alle,Alle alle,NA,NA
Ammodytes hexapterus,Metazoa,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes hexapterus,NA,NA
Anas crecca,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas crecca,0.35,Hein_etal_2012
Anser anser,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser anser,NA,NA
Anser brachyrhynchus,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser brachyrhynchus,NA,NA
Anser canagicus,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser canagicus,NA,NA
Anser erythropus,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser erythropus,NA,NA
Anser fabalis,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser fabalis,NA,NA
Anthus,Metazoa,Aves,Passeriformes,Motacillidae,Anthus,NA,NA,NA
Anthus campestris,Metazoa,Aves,Passeriformes,Motacillidae,Anthus,Anthus campestris,NA,NA
Anthus cervinus,Metazoa,Aves,Passeriformes,Motacillidae,Anthus,Anthus cervinus,NA,NA
Anthus hodgsoni,Metazoa,Aves,Passeriformes,Motacillidae,Anthus,Anthus hodgsoni,NA,NA
Anthus petrosus,Metazoa,Aves,Passeriformes,Motacillidae,Anthus,Anthus petrosus,NA,NA
Arenaria,Metazoa,Aves,Charadriiformes,Scolopacidae,Arenaria,NA,NA,NA
Asio flammeus,Metazoa,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,0.315,Armstrong_1965
Aythya,Metazoa,Aves,Anseriformes,Anatidae,Aythya,NA,NA,NA
Aythya fuligula,Metazoa,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,0.66,Hein_etal_2012
Aythya marila,Metazoa,Aves,Anseriformes,Anatidae,Aythya,Aythya marila,NA,NA
Branta bernicla,Metazoa,Aves,Anseriformes,Anatidae,Branta,Branta bernicla,1.4,Hein_Gillooly_2011
Branta leucopsis,Metazoa,Aves,Anseriformes,Anatidae,Branta,Branta leucopsis,1.8,Hein_Gillooly_2011
Bubo scandiacus,Metazoa,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,NA,NA
Buteo lagopus,Metazoa,Aves,Accipitriformes,Accipitridae,Buteo,Buteo lagopus,NA,NA
Calcarius lapponicus,Metazoa,Aves,Passeriformes,Fringillidae,Calcarius,Calcarius lapponicus,0.0286,Mace_Harvey_1983
Calidris,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,NA,NA,NA
Calidris alba,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,NA,NA
Calidris alpina,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,0.052,Sibly_etal_2012
Calidris canutus,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris canutus,NA,NA
Calidris falcinellus,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris falcinellus,NA,NA
Calidris maritima,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris maritima,NA,NA
Calidris melanotos,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos,NA,NA
Calidris minuta,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris minuta,NA,NA
Calidris temminckii,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris temminckii,NA,NA
Carpodacus erythrinus,Metazoa,Aves,Passeriformes,Fringillidae,Carpodacus,Carpodacus erythrinus,NA,NA
Cepphus columba,Metazoa,Aves,Charadriiformes,Alcidae,Cepphus,Cepphus columba,NA,NA
Cepphus grylle,Metazoa,Aves,Charadriiformes,Alcidae,Cepphus,Cepphus grylle,NA,NA
Charadrius dubius,Metazoa,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius dubius,NA,NA
Charadrius hiaticula,Metazoa,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius hiaticula,NA,NA
Charadrius morinellus,Metazoa,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius morinellus,NA,NA
Charadrius semipalmatus,Metazoa,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius semipalmatus,NA,NA
Chen caerulescens,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser caerulescens,NA,NA
Chionoecetes opilio,Metazoa,Malacostraca,Decapoda,Majidae,Chionoecetes,Chionoecetes opilio,NA,NA
Circus aeruginosus,Metazoa,Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus,NA,NA
Circus cyaneus,Metazoa,Aves,Accipitriformes,Accipitridae,Circus,Circus cyaneus,NA,NA
Clangula hyemalis,Metazoa,Aves,Anseriformes,Anatidae,Clangula,Clangula hyemalis,NA,NA
Coloeus monedula,Metazoa,Aves,Passeriformes,Corvidae,Coloeus,Coloeus monedula,NA,NA
Coturnix coturnix,Metazoa,Aves,Galliformes,Phasianidae,Coturnix,Coturnix coturnix,NA,NA
Cygnus columbianus,Metazoa,Aves,Anseriformes,Anatidae,Cygnus,Cygnus columbianus,6.8,Hein_Gillooly_2011
Cygnus cygnus,Metazoa,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,9.4,Hein_Gillooly_2011
Cygnus olor,Metazoa,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,11.8,Jenkins_etal_2007
Dicrostonyx torquatus,Metazoa,Mammalia,Rodentia,Cricetidae,Dicrostonyx,Dicrostonyx torquatus,NA,NA
Emberiza aureola,Metazoa,Aves,Passeriformes,Fringillidae,Emberiza,Emberiza aureola,NA,NA
Emberiza pallasi,Metazoa,Aves,Passeriformes,Fringillidae,Emberiza,Emberiza pallasi,NA,NA
Emberiza pusilla,Metazoa,Aves,Passeriformes,Fringillidae,Emberiza,Emberiza pusilla,NA,NA
Emberiza rustica,Metazoa,Aves,Passeriformes,Fringillidae,Emberiza,Emberiza rustica,NA,NA
Emberiza schoeniclus,Metazoa,Aves,Passeriformes,Fringillidae,Emberiza,Emberiza schoeniclus,NA,NA
Enhydra lutris,Metazoa,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra lutris,NA,NA
Eremophila alpestris,Metazoa,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,0.0408,Mace_Harvey_1983
Erithacus rubecula,Metazoa,Aves,Passeriformes,Turdidae,Erithacus,Erithacus rubecula,0.018,Armstrong_1965
Eumetopias jubatus,Metazoa,Mammalia,Carnivora,Otariidae,Eumetopias,Eumetopias jubatus,NA,NA
Falco columbarius,Metazoa,Aves,Falconiformes,Falconidae,Falco,Falco columbarius,0.218,Jenkins_etal_2007
Fratercula cirrhata,Metazoa,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula cirrhata,NA,NA
Fratercula corniculata,Metazoa,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula corniculata,NA,NA
Fringilla coelebs,Metazoa,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,0.02325,Tamburello_etal_2015
Fulica atra,Metazoa,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,0.84,Hein_Gillooly_2011
Fulmarus glacialis,Metazoa,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialis,NA,NA
Gallinago gallinago,Metazoa,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago gallinago,NA,NA
Gallinago media,Metazoa,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago media,NA,NA
Gallinago stenura,Metazoa,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago stenura,NA,NA
Garrulus glandarius,Metazoa,Aves,Passeriformes,Corvidae,Garrulus,Garrulus glandarius,NA,NA
Gavia,Metazoa,Aves,Gaviiformes,Gaviidae,Gavia,NA,NA,NA
Gavia adamsii,Metazoa,Aves,Gaviiformes,Gaviidae,Gavia,Gavia adamsii,NA,NA
Gavia immer,Metazoa,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,NA,NA
Gavia stellata,Metazoa,Aves,Gaviiformes,Gaviidae,Gavia,Gavia stellata,NA,NA
Grus grus,Metazoa,Aves,Gruiformes,Gruidae,Grus,Grus grus,NA,NA
Haematopus ostralegus,Metazoa,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus ostralegus,NA,NA
Histrionicus histrionicus,Metazoa,Aves,Anseriformes,Anatidae,Histrionicus,Histrionicus histrionicus,NA,NA
Hyas,Metazoa,Malacostraca,Decapoda,Majidae,Hyas,NA,NA,NA
Hydrobates pelagicus,Metazoa,Aves,Procellariiformes,NA,Hydrobates,Hydrobates pelagicus,NA,NA
Hydrocoloeus minutus,Metazoa,Aves,Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus,NA,NA
Jynx torquilla,Metazoa,Aves,Piciformes,Picidae,Jynx,Jynx torquilla,NA,NA
Lagopus lagopus,Metazoa,Aves,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,0.62,Schoener_1968
Lagopus muta,Metazoa,Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,NA,NA
Larus argentatus,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,NA,NA
Larus fuscus,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus fuscus,0.8,Hein_etal_2012
Larus glaucescens,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus glaucescens,1.01,EOL
Larus glaucoides,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus glaucoides,NA,NA
Larus hyperboreus,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus hyperboreus,NA,NA
Larus marinus,Metazoa,Aves,Charadriiformes,Laridae,Larus,Larus marinus,NA,NA
Lemmus lemmus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmus,Lemmus lemmus,0.1,Hein_etal_2012
Lemmus sibiricus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmus,Lemmus sibiricus,0.09214,Tamburello_etal_2015
Lepus timidus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus timidus,2.82501,Tamburello_etal_2015
Limosa lapponica,Metazoa,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,NA,NA
Limosa limosa,Metazoa,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa,NA,NA
Linaria cannabina,Metazoa,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,0.0155,Tamburello_etal_2015
Linaria flavirostris,Metazoa,Aves,Passeriformes,Fringillidae,Linaria,Linaria flavirostris,NA,NA
Locustella naevia,Metazoa,Aves,Passeriformes,Locustellidae,Locustella,Locustella naevia,NA,NA
Lophophanes cristatus,Metazoa,Aves,Passeriformes,Paridae,Lophophanes,Lophophanes cristatus,NA,NA
Loxia pytyopsittacus,Metazoa,Aves,Passeriformes,Fringillidae,Loxia,Loxia pytyopsittacus,NA,NA
Lumpenus,Metazoa,Actinopteri,Perciformes,Stichaeidae,Lumpenus,NA,NA,NA
Lymnocryptes minimus,Metazoa,Aves,Charadriiformes,Scolopacidae,Lymnocryptes,Lymnocryptes minimus,NA,NA
Lyrurus tetrix,Metazoa,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,NA,NA
Mallotus villosus,Metazoa,Actinopteri,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,NA,NA
Melanitta fusca,Metazoa,Aves,Anseriformes,Anatidae,Melanitta,Melanitta fusca,NA,NA
Melanitta nigra,Metazoa,Aves,Anseriformes,Anatidae,Melanitta,Melanitta nigra,NA,NA
Melospiza melodia,Metazoa,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia,0.0216,Mace_Harvey_1983
Mergus serrator,Metazoa,Aves,Anseriformes,Anatidae,Mergus,Mergus serrator,NA,NA
Microtus agrestis,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus agrestis,0.038,Tamburello_etal_2015
Microtus gregalis,Metazoa,Mammalia,Rodentia,Cricetidae,Stenocranius,Stenocranius gregalis,NA,NA
Microtus middendorffi,Metazoa,Mammalia,Rodentia,Cricetidae,Alexandromys,Alexandromys middendorffii,NA,NA
Microtus oeconomus,Metazoa,Mammalia,Rodentia,Cricetidae,Alexandromys,Alexandromys oeconomus,NA,NA
Morus bassanus,Metazoa,Aves,Suliformes,Sulidae,Morus,Morus bassanus,NA,NA
Motacilla citreola,Metazoa,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla citreola,NA,NA
Motacilla flava,Metazoa,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla flava,0.0175,Tamburello_etal_2015
Muscicapa striata,Metazoa,Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa striata,0.0128,Tamburello_etal_2015
Mya,Metazoa,Bivalvia,Myida,Myidae,Mya,NA,NA,NA
Myodes glareolus,Metazoa,Mammalia,Rodentia,Cricetidae,Myodes,Myodes glareolus,NA,NA
Myodes rufocanus,Metazoa,Mammalia,Rodentia,Cricetidae,Myodes,Myodes rufocanus,NA,NA
Myodes rutilus,Metazoa,Mammalia,Rodentia,Cricetidae,Clethrionomys,Clethrionomys rutilus,NA,NA
Myopus schisticolor,Metazoa,Mammalia,Rodentia,Cricetidae,Myopus,Myopus schisticolor,NA,NA
Myoxocephalus,Metazoa,Actinopteri,Perciformes,Cottidae,Myoxocephalus,NA,NA,NA
Mytilus,Metazoa,Bivalvia,Mytilida,Mytilidae,Mytilus,NA,NA,NA
Nereididae,Metazoa,Polychaeta,Phyllodocida,Nereididae,NA,NA,NA,NA
Nucifraga caryocatactes,Metazoa,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga caryocatactes,0.13,Mace_Harvey_1983
Numenius arquata,Metazoa,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,NA,NA
Numenius phaeopus,Metazoa,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,0.4,Jenkins_etal_2007
Oceanodroma,Metazoa,Aves,Procellariiformes,NA,Oceanodroma,NA,NA,NA
Oceanodroma leucorhoa,Metazoa,Aves,Procellariiformes,NA,Oceanodroma,Oceanodroma leucorhoa,NA,NA
Oenanthe oenanthe,Metazoa,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,0.0252,Tamburello_etal_2015
Pagophila eburnea,Metazoa,Aves,Charadriiformes,Laridae,Pagophila,Pagophila eburnea,NA,NA
Parus major,Metazoa,Aves,Passeriformes,Paridae,Parus,Parus major,0.0197,armstrong_1965
Passer domesticus,Metazoa,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,0.029,Mace_Harvey_1983
Perdix perdix,Metazoa,Aves,Galliformes,Phasianidae,Perdix,Perdix perdix,NA,NA
Phalacrocorax auritus,Metazoa,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax auritus,NA,NA
Phalacrocorax pelagicus,Metazoa,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax pelagicus,NA,NA
Phalaropus fulicarius,Metazoa,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus fulicarius,NA,NA
Phalaropus lobatus,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa tobata,NA,NA
Phoca largha,Metazoa,Mammalia,Carnivora,Phocidae,Phoca,Phoca largha,NA,NA
Pholis,Metazoa,Actinopteri,Perciformes,Pholidae,Pholis,NA,NA,NA
Phylloscopus borealis,Metazoa,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus borealis,NA,NA
Phylloscopus collybita,Metazoa,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita,NA,NA
Phylloscopus inornatus,Metazoa,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus inornatus,NA,NA
Phylloscopus trochiloides,Metazoa,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochiloides,NA,NA
Phylloscopus trochilus,Metazoa,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus,0.0087,Hein_etal_2012
Picus viridis,Metazoa,Aves,Piciformes,Picidae,Picus,Picus viridis,0.18667,Tamburello_etal_2015
Pinicola enucleator,Metazoa,Aves,Passeriformes,Fringillidae,Pinicola,Pinicola enucleator,NA,NA
Plectrophenax,Metazoa,Aves,Passeriformes,Fringillidae,Plectrophenax,NA,NA,NA
Plectrophenax nivalis,Metazoa,Aves,Passeriformes,Fringillidae,Plectrophenax,Plectrophenax nivalis,NA,NA
Pluvialis apricaria,Metazoa,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis apricaria,NA,NA
Pluvialis squatarola,Metazoa,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,NA,NA
Polysticta stelleri,Metazoa,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri,NA,NA
Porzana porzana,Metazoa,Aves,Gruiformes,Rallidae,Porzana,Porzana porzana,NA,NA
Prunella modularis,Metazoa,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,NA,NA
Ptychoramphus aleuticus,Metazoa,Aves,Charadriiformes,Alcidae,Ptychoramphus,Ptychoramphus aleuticus,NA,NA
Puffinus tenuirostris,Metazoa,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna tenuirostris,NA,NA
Pyrrhula pyrrhula,Metazoa,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,NA,NA
Rissa tridactyla,Metazoa,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,NA,NA
Saxicola rubetra,Metazoa,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola rubetra,0.01648,Tamburello_etal_2015
Saxicola torquatus,Metazoa,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola torquatus,NA,NA
Scolopax rusticola,Metazoa,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax rusticola,NA,NA
Somateria mollissima,Metazoa,Aves,Anseriformes,Anatidae,Somateria,Somateria mollissima,NA,NA
Somateria spectabilis,Metazoa,Aves,Anseriformes,Anatidae,Somateria,Somateria spectabilis,NA,NA
Sorex araneus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex araneus,NA,NA
Sorex isodon,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex isodon,NA,NA
Sorex minutissimus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex minutissimus,NA,NA
Sorex minutus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex minutus,NA,NA
Sorex tundrensis,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex tundrensis,NA,NA
Spatula querquedula,Metazoa,Aves,Anseriformes,Anatidae,Spatula,Spatula querquedula,NA,NA
Spinus spinus,Metazoa,Aves,Passeriformes,Fringillidae,Spinus,Spinus spinus,NA,NA
Staphylinidae,Metazoa,Insecta,Coleoptera,Staphylinidae,NA,NA,NA,NA
Stercorarius longicaudus,Metazoa,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius longicaudus,NA,NA
Stercorarius parasiticus,Metazoa,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,NA,NA
Stercorarius pomarinus,Metazoa,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius pomarinus,0.75,Armstrong_1965
Stercorarius skua,Metazoa,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius skua,NA,NA
Sterna,Metazoa,Aves,Charadriiformes,Laridae,Sterna,NA,NA,NA
Sterna hirundo,Metazoa,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,NA,NA
Sterna paradisaea,Metazoa,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,NA,NA
Sturnus vulgaris,Metazoa,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,0.082,Hein_etal_2012
Sylvia atricapilla,Metazoa,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,0.0155,Moller_etal_2004
Synthliboramphus antiquus,Metazoa,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus antiquus,NA,NA
Tadorna tadorna,Metazoa,Aves,Anseriformes,Anatidae,Tadorna,Tadorna tadorna,NA,NA
Tarsiger cyanurus,Metazoa,Aves,Passeriformes,Turdidae,Tarsiger,Tarsiger cyanurus,NA,NA
Tetrao urogallus,Metazoa,Aves,Galliformes,Phasianidae,Tetrao,Tetrao urogallus,NA,NA
Tetrastes bonasia,Metazoa,Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia,0.429,Jenkins_etal_2007
Tringa erythropus,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa erythropus,NA,NA
Tringa glareola,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa glareola,NA,NA
Tringa nebularia,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,NA,NA
Tringa ochropus,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa ochropus,NA,NA
Tringa totanus,Metazoa,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,NA,NA
Turdus iliacus,Metazoa,Aves,Passeriformes,Turdidae,Turdus,Turdus iliacus,NA,NA
Turdus merula,Metazoa,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,0.092,Schoener_1968
Turdus philomelos,Metazoa,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,NA,NA
Turdus pilaris,Metazoa,Aves,Passeriformes,Turdidae,Turdus,Turdus pilaris,NA,NA
Turdus torquatus,Metazoa,Aves,Passeriformes,Turdidae,Turdus,Turdus torquatus,NA,NA
Uria aalge,Metazoa,Aves,Charadriiformes,Alcidae,Uria,Uria aalge,NA,NA
Uria lomvia,Metazoa,Aves,Charadriiformes,Alcidae,Uria,Uria lomvia,NA,NA
Vanellus vanellus,Metazoa,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus,NA,NA
Vulpes,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,NA,NA,NA
Xema sabini,Metazoa,Aves,Charadriiformes,Laridae,Xema,Xema sabini,NA,NA
Xenus cinereus,Metazoa,Aves,Charadriiformes,Scolopacidae,Xenus,Xenus cinereus,NA,NA
Zootoca vivipara,Metazoa,Lepidosauria,Squamata,Lacertidae,Zootoca,Zootoca vivipara,0.0032,Perry_Garland_2002
Arachnida,Metazoa,Arachnida,NA,NA,NA,NA,NA,NA
Blattoidea,Metazoa,Insecta,Blattodea,NA,NA,NA,NA,NA
Macroscelididae,Metazoa,Mammalia,Macroscelidea,Macroscelididae,NA,NA,NA,NA
Acanthostracion quadricornis,Metazoa,Actinopteri,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,NA,NA
Aethia,Metazoa,Aves,Charadriiformes,Alcidae,Aethia,NA,NA,NA
Alexandromys oeconomus,Metazoa,Mammalia,Rodentia,Cricetidae,Alexandromys,Alexandromys oeconomus,NA,NA
Anser,Metazoa,Aves,Anseriformes,Anatidae,Anser,NA,NA,NA
Anser albifrons,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,NA,NA
Anser caerulescens,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser caerulescens,NA,NA
Anser caerulescens atlantica,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser caerulescens,NA,NA
Anser rossii,Metazoa,Aves,Anseriformes,Anatidae,Anser,Anser rossii,NA,NA
Anseriformes,Metazoa,Aves,Anseriformes,NA,NA,NA,NA,NA
Arvicolinae,Metazoa,Mammalia,Rodentia,Cricetidae,NA,NA,NA,NA
Calidris mauri,Metazoa,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris mauri,0.047,Hein_etal_2012
Callorhinus ursinus,Metazoa,Mammalia,Carnivora,Otariidae,Callorhinus,Callorhinus ursinus,NA,NA
Carduelis,Metazoa,Aves,Passeriformes,Fringillidae,Carduelis,NA,NA,NA
Charadriiformes,Metazoa,Aves,Charadriiformes,NA,NA,NA,NA,NA
Chordata,Metazoa,NA,NA,NA,NA,NA,NA,NA
Dicrostonyx,Metazoa,Mammalia,Rodentia,Cricetidae,Dicrostonyx,NA,NA,NA
Eschrichtius robustus,Metazoa,Mammalia,Artiodactyla,Eschrichtiidae,Eschrichtius,Eschrichtius robustus,NA,NA
Galliformes,Metazoa,Aves,Galliformes,NA,NA,NA,NA,NA
Gastropoda,Metazoa,Gastropoda,NA,NA,NA,NA,NA,NA
Gnathostomata,Metazoa,NA,NA,NA,NA,NA,NA,NA
Lagopus,Metazoa,Aves,Galliformes,Phasianidae,Lagopus,NA,NA,NA
Laridae,Metazoa,Aves,Charadriiformes,Laridae,NA,NA,NA,NA
Lemmus trimucronatus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmus,Lemmus trimucronatus,NA,NA
Lepus arcticus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus arcticus,NA,NA
Microtus levis,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus levis,NA,NA
Myodes,Metazoa,Mammalia,Rodentia,Cricetidae,Myodes,NA,NA,NA
